"k","eps","minpts"
4,2,2
6,2,2
8,2,2
10,2,2
12,2,2
14,2,2
16,2,2
18,2,2
20,2,2
22,2,2
24,2,2
26,2,2
28,2,2
30,2,2
32,2,2
34,2,2
36,2,2
38,2,2
40,2,2
42,2,2
44,2,2
46,2,2
48,2,2
50,2,2
NA,3,2
6,4,2
8,4,2
10,4,2
12,4,2
14,4,2
16,4,2
18,4,2
20,4,2
22,4,2
24,4,2
26,4,2
28,4,2
30,4,2
32,4,2
34,4,2
36,4,2
38,4,2
40,4,2
42,4,2
44,4,2
46,4,2
48,4,2
50,4,2
NA,5,2
8,6,2
10,6,2
12,6,2
14,6,2
16,6,2
18,6,2
20,6,2
22,6,2
24,6,2
26,6,2
28,6,2
30,6,2
32,6,2
34,6,2
36,6,2
38,6,2
40,6,2
42,6,2
44,6,2
46,6,2
48,6,2
50,6,2
NA,7,2
10,8,2
12,8,2
14,8,2
16,8,2
18,8,2
20,8,2
22,8,2
24,8,2
26,8,2
28,8,2
30,8,2
32,8,2
34,8,2
36,8,2
38,8,2
40,8,2
42,8,2
44,8,2
46,8,2
48,8,2
50,8,2
NA,9,2
12,10,2
14,10,2
16,10,2
18,10,2
20,10,2
22,10,2
24,10,2
26,10,2
28,10,2
30,10,2
32,10,2
34,10,2
36,10,2
38,10,2
40,10,2
42,10,2
44,10,2
46,10,2
48,10,2
50,10,2
NA,11,2
14,12,2
16,12,2
18,12,2
20,12,2
22,12,2
24,12,2
26,12,2
28,12,2
30,12,2
32,12,2
34,12,2
36,12,2
38,12,2
40,12,2
42,12,2
44,12,2
46,12,2
48,12,2
50,12,2
NA,13,2
16,14,2
18,14,2
20,14,2
22,14,2
24,14,2
26,14,2
28,14,2
30,14,2
32,14,2
34,14,2
36,14,2
38,14,2
40,14,2
42,14,2
44,14,2
46,14,2
48,14,2
50,14,2
NA,15,2
18,16,2
20,16,2
22,16,2
24,16,2
26,16,2
28,16,2
30,16,2
32,16,2
34,16,2
36,16,2
38,16,2
40,16,2
42,16,2
44,16,2
46,16,2
48,16,2
50,16,2
NA,17,2
20,18,2
22,18,2
24,18,2
26,18,2
28,18,2
30,18,2
32,18,2
34,18,2
36,18,2
38,18,2
40,18,2
42,18,2
44,18,2
46,18,2
48,18,2
50,18,2
NA,19,2
22,20,2
24,20,2
26,20,2
28,20,2
30,20,2
32,20,2
34,20,2
36,20,2
38,20,2
40,20,2
42,20,2
44,20,2
46,20,2
48,20,2
50,20,2
NA,21,2
24,22,2
26,22,2
28,22,2
30,22,2
32,22,2
34,22,2
36,22,2
38,22,2
40,22,2
42,22,2
44,22,2
46,22,2
48,22,2
50,22,2
NA,23,2
26,24,2
28,24,2
30,24,2
32,24,2
34,24,2
36,24,2
38,24,2
40,24,2
42,24,2
44,24,2
46,24,2
48,24,2
50,24,2
NA,25,2
28,26,2
30,26,2
32,26,2
34,26,2
36,26,2
38,26,2
40,26,2
42,26,2
44,26,2
46,26,2
48,26,2
50,26,2
NA,27,2
30,28,2
32,28,2
34,28,2
36,28,2
38,28,2
40,28,2
42,28,2
44,28,2
46,28,2
48,28,2
50,28,2
NA,29,2
32,30,2
34,30,2
36,30,2
38,30,2
40,30,2
42,30,2
44,30,2
46,30,2
48,30,2
50,30,2
NA,31,2
34,32,2
36,32,2
38,32,2
40,32,2
42,32,2
44,32,2
46,32,2
48,32,2
50,32,2
NA,33,2
36,34,2
38,34,2
40,34,2
42,34,2
44,34,2
46,34,2
48,34,2
50,34,2
NA,35,2
38,36,2
40,36,2
42,36,2
44,36,2
46,36,2
48,36,2
50,36,2
NA,37,2
40,38,2
42,38,2
44,38,2
46,38,2
48,38,2
50,38,2
NA,39,2
42,40,2
44,40,2
46,40,2
48,40,2
50,40,2
NA,41,2
44,42,2
46,42,2
48,42,2
50,42,2
NA,43,2
46,44,2
48,44,2
50,44,2
NA,45,2
48,46,2
50,46,2
NA,47,2
50,48,2
NA,49,2
NA,2,3
NA,3,3
NA,4,3
NA,5,3
NA,6,3
NA,7,3
NA,8,3
NA,9,3
NA,10,3
NA,11,3
NA,12,3
NA,13,3
NA,14,3
NA,15,3
NA,16,3
NA,17,3
NA,18,3
NA,19,3
NA,20,3
NA,21,3
NA,22,3
NA,23,3
NA,24,3
NA,25,3
NA,26,3
NA,27,3
NA,28,3
NA,29,3
NA,30,3
NA,31,3
NA,32,3
NA,33,3
NA,34,3
NA,35,3
NA,36,3
NA,37,3
NA,38,3
NA,39,3
NA,40,3
NA,41,3
NA,42,3
NA,43,3
NA,44,3
NA,45,3
NA,46,3
NA,47,3
NA,48,3
NA,49,3
6,2,4
8,2,4
10,2,4
12,2,4
14,2,4
16,2,4
18,2,4
20,2,4
22,2,4
24,2,4
26,2,4
28,2,4
30,2,4
32,2,4
34,2,4
36,2,4
38,2,4
40,2,4
42,2,4
44,2,4
46,2,4
48,2,4
50,2,4
NA,3,4
6,4,4
8,4,4
10,4,4
12,4,4
14,4,4
16,4,4
18,4,4
20,4,4
22,4,4
24,4,4
26,4,4
28,4,4
30,4,4
32,4,4
34,4,4
36,4,4
38,4,4
40,4,4
42,4,4
44,4,4
46,4,4
48,4,4
50,4,4
NA,5,4
8,6,4
10,6,4
12,6,4
14,6,4
16,6,4
18,6,4
20,6,4
22,6,4
24,6,4
26,6,4
28,6,4
30,6,4
32,6,4
34,6,4
36,6,4
38,6,4
40,6,4
42,6,4
44,6,4
46,6,4
48,6,4
50,6,4
NA,7,4
10,8,4
12,8,4
14,8,4
16,8,4
18,8,4
20,8,4
22,8,4
24,8,4
26,8,4
28,8,4
30,8,4
32,8,4
34,8,4
36,8,4
38,8,4
40,8,4
42,8,4
44,8,4
46,8,4
48,8,4
50,8,4
NA,9,4
12,10,4
14,10,4
16,10,4
18,10,4
20,10,4
22,10,4
24,10,4
26,10,4
28,10,4
30,10,4
32,10,4
34,10,4
36,10,4
38,10,4
40,10,4
42,10,4
44,10,4
46,10,4
48,10,4
50,10,4
NA,11,4
14,12,4
16,12,4
18,12,4
20,12,4
22,12,4
24,12,4
26,12,4
28,12,4
30,12,4
32,12,4
34,12,4
36,12,4
38,12,4
40,12,4
42,12,4
44,12,4
46,12,4
48,12,4
50,12,4
NA,13,4
16,14,4
18,14,4
20,14,4
22,14,4
24,14,4
26,14,4
28,14,4
30,14,4
32,14,4
34,14,4
36,14,4
38,14,4
40,14,4
42,14,4
44,14,4
46,14,4
48,14,4
50,14,4
NA,15,4
18,16,4
20,16,4
22,16,4
24,16,4
26,16,4
28,16,4
30,16,4
32,16,4
34,16,4
36,16,4
38,16,4
40,16,4
42,16,4
44,16,4
46,16,4
48,16,4
50,16,4
NA,17,4
20,18,4
22,18,4
24,18,4
26,18,4
28,18,4
30,18,4
32,18,4
34,18,4
36,18,4
38,18,4
40,18,4
42,18,4
44,18,4
46,18,4
48,18,4
50,18,4
NA,19,4
22,20,4
24,20,4
26,20,4
28,20,4
30,20,4
32,20,4
34,20,4
36,20,4
38,20,4
40,20,4
42,20,4
44,20,4
46,20,4
48,20,4
50,20,4
NA,21,4
24,22,4
26,22,4
28,22,4
30,22,4
32,22,4
34,22,4
36,22,4
38,22,4
40,22,4
42,22,4
44,22,4
46,22,4
48,22,4
50,22,4
NA,23,4
26,24,4
28,24,4
30,24,4
32,24,4
34,24,4
36,24,4
38,24,4
40,24,4
42,24,4
44,24,4
46,24,4
48,24,4
50,24,4
NA,25,4
28,26,4
30,26,4
32,26,4
34,26,4
36,26,4
38,26,4
40,26,4
42,26,4
44,26,4
46,26,4
48,26,4
50,26,4
NA,27,4
30,28,4
32,28,4
34,28,4
36,28,4
38,28,4
40,28,4
42,28,4
44,28,4
46,28,4
48,28,4
50,28,4
NA,29,4
32,30,4
34,30,4
36,30,4
38,30,4
40,30,4
42,30,4
44,30,4
46,30,4
48,30,4
50,30,4
NA,31,4
34,32,4
36,32,4
38,32,4
40,32,4
42,32,4
44,32,4
46,32,4
48,32,4
50,32,4
NA,33,4
36,34,4
38,34,4
40,34,4
42,34,4
44,34,4
46,34,4
48,34,4
50,34,4
NA,35,4
38,36,4
40,36,4
42,36,4
44,36,4
46,36,4
48,36,4
50,36,4
NA,37,4
40,38,4
42,38,4
44,38,4
46,38,4
48,38,4
50,38,4
NA,39,4
42,40,4
44,40,4
46,40,4
48,40,4
50,40,4
NA,41,4
44,42,4
46,42,4
48,42,4
50,42,4
NA,43,4
46,44,4
48,44,4
50,44,4
NA,45,4
48,46,4
50,46,4
NA,47,4
50,48,4
NA,49,4
NA,2,5
NA,3,5
NA,4,5
NA,5,5
NA,6,5
NA,7,5
NA,8,5
NA,9,5
NA,10,5
NA,11,5
NA,12,5
NA,13,5
NA,14,5
NA,15,5
NA,16,5
NA,17,5
NA,18,5
NA,19,5
NA,20,5
NA,21,5
NA,22,5
NA,23,5
NA,24,5
NA,25,5
NA,26,5
NA,27,5
NA,28,5
NA,29,5
NA,30,5
NA,31,5
NA,32,5
NA,33,5
NA,34,5
NA,35,5
NA,36,5
NA,37,5
NA,38,5
NA,39,5
NA,40,5
NA,41,5
NA,42,5
NA,43,5
NA,44,5
NA,45,5
NA,46,5
NA,47,5
NA,48,5
NA,49,5
8,2,6
10,2,6
12,2,6
14,2,6
16,2,6
18,2,6
20,2,6
22,2,6
24,2,6
26,2,6
28,2,6
30,2,6
32,2,6
34,2,6
36,2,6
38,2,6
40,2,6
42,2,6
44,2,6
46,2,6
48,2,6
50,2,6
NA,3,6
8,4,6
10,4,6
12,4,6
14,4,6
16,4,6
18,4,6
20,4,6
22,4,6
24,4,6
26,4,6
28,4,6
30,4,6
32,4,6
34,4,6
36,4,6
38,4,6
40,4,6
42,4,6
44,4,6
46,4,6
48,4,6
50,4,6
NA,5,6
8,6,6
10,6,6
12,6,6
14,6,6
16,6,6
18,6,6
20,6,6
22,6,6
24,6,6
26,6,6
28,6,6
30,6,6
32,6,6
34,6,6
36,6,6
38,6,6
40,6,6
42,6,6
44,6,6
46,6,6
48,6,6
50,6,6
NA,7,6
10,8,6
12,8,6
14,8,6
16,8,6
18,8,6
20,8,6
22,8,6
24,8,6
26,8,6
28,8,6
30,8,6
32,8,6
34,8,6
36,8,6
38,8,6
40,8,6
42,8,6
44,8,6
46,8,6
48,8,6
50,8,6
NA,9,6
12,10,6
14,10,6
16,10,6
18,10,6
20,10,6
22,10,6
24,10,6
26,10,6
28,10,6
30,10,6
32,10,6
34,10,6
36,10,6
38,10,6
40,10,6
42,10,6
44,10,6
46,10,6
48,10,6
50,10,6
NA,11,6
14,12,6
16,12,6
18,12,6
20,12,6
22,12,6
24,12,6
26,12,6
28,12,6
30,12,6
32,12,6
34,12,6
36,12,6
38,12,6
40,12,6
42,12,6
44,12,6
46,12,6
48,12,6
50,12,6
NA,13,6
16,14,6
18,14,6
20,14,6
22,14,6
24,14,6
26,14,6
28,14,6
30,14,6
32,14,6
34,14,6
36,14,6
38,14,6
40,14,6
42,14,6
44,14,6
46,14,6
48,14,6
50,14,6
NA,15,6
18,16,6
20,16,6
22,16,6
24,16,6
26,16,6
28,16,6
30,16,6
32,16,6
34,16,6
36,16,6
38,16,6
40,16,6
42,16,6
44,16,6
46,16,6
48,16,6
50,16,6
NA,17,6
20,18,6
22,18,6
24,18,6
26,18,6
28,18,6
30,18,6
32,18,6
34,18,6
36,18,6
38,18,6
40,18,6
42,18,6
44,18,6
46,18,6
48,18,6
50,18,6
NA,19,6
22,20,6
24,20,6
26,20,6
28,20,6
30,20,6
32,20,6
34,20,6
36,20,6
38,20,6
40,20,6
42,20,6
44,20,6
46,20,6
48,20,6
50,20,6
NA,21,6
24,22,6
26,22,6
28,22,6
30,22,6
32,22,6
34,22,6
36,22,6
38,22,6
40,22,6
42,22,6
44,22,6
46,22,6
48,22,6
50,22,6
NA,23,6
26,24,6
28,24,6
30,24,6
32,24,6
34,24,6
36,24,6
38,24,6
40,24,6
42,24,6
44,24,6
46,24,6
48,24,6
50,24,6
NA,25,6
28,26,6
30,26,6
32,26,6
34,26,6
36,26,6
38,26,6
40,26,6
42,26,6
44,26,6
46,26,6
48,26,6
50,26,6
NA,27,6
30,28,6
32,28,6
34,28,6
36,28,6
38,28,6
40,28,6
42,28,6
44,28,6
46,28,6
48,28,6
50,28,6
NA,29,6
32,30,6
34,30,6
36,30,6
38,30,6
40,30,6
42,30,6
44,30,6
46,30,6
48,30,6
50,30,6
NA,31,6
34,32,6
36,32,6
38,32,6
40,32,6
42,32,6
44,32,6
46,32,6
48,32,6
50,32,6
NA,33,6
36,34,6
38,34,6
40,34,6
42,34,6
44,34,6
46,34,6
48,34,6
50,34,6
NA,35,6
38,36,6
40,36,6
42,36,6
44,36,6
46,36,6
48,36,6
50,36,6
NA,37,6
40,38,6
42,38,6
44,38,6
46,38,6
48,38,6
50,38,6
NA,39,6
42,40,6
44,40,6
46,40,6
48,40,6
50,40,6
NA,41,6
44,42,6
46,42,6
48,42,6
50,42,6
NA,43,6
46,44,6
48,44,6
50,44,6
NA,45,6
48,46,6
50,46,6
NA,47,6
50,48,6
NA,49,6
NA,2,7
NA,3,7
NA,4,7
NA,5,7
NA,6,7
NA,7,7
NA,8,7
NA,9,7
NA,10,7
NA,11,7
NA,12,7
NA,13,7
NA,14,7
NA,15,7
